Cultivo;Campa�a;Semana;Zona;Siembra;CC_Mala (%);CC_Regular (%);CC_Normal (%);CC_Buena (%);CC_Excelente (%);CH_Sequ�a (%);CH_Regular (%);CH_Adecuada (%);CH_�ptima (%);CH_Exceso (%);Expansi�n foliar (%);Comienzo de Floraci�n (%);Comienzo de Fructificaci�n (%);Comienzo de Llenado (%);Comienzo de Madurez (%);Cosecha (%)
Soja;2019/20;28;TOTAL;100;751.382.259;3.366.206.882;3.411.345.688;2.471.065.171;0;0;6.146.847.942;7.096.712.093;2.288.603.113;0;100;100;100;100;100;100
Soja;2019/20;27;TOTAL;100;751.382.259;3.366.206.882;3.411.345.688;2.471.065.171;0;0;6.146.847.942;7.096.712.093;2.288.603.113;0;100;100;100;100;100;100
Soja;2019/20;26;TOTAL;100;751.382.259;3.366.206.882;3.411.345.688;2.471.065.171;0;0;6.146.847.942;7.096.712.093;2.288.603.113;0;100;100;100;100;100;100
Soja;2019/20;25;TOTAL;100;751.382.259;3.366.206.882;3.411.345.688;2.471.065.171;0;0;6.146.847.942;7.096.712.093;2.288.603.113;0;100;100;100;100;100;100
Soja;2019/20;24;TOTAL;100;751.382.259;3.366.206.882;3.411.345.688;2.471.065.171;0;0;6.146.847.942;7.096.712.093;2.288.603.113;0;100;100;100;100;100;9.944.814.507
Soja;2019/20;23;TOTAL;100;4.669.107.815;3.328.539.367;3.685.649.764;2.518.900.088;0;0;6.870.759.864;6.865.337.933;2.447.586.081;0;100;100;100;100;100;9.864.131.903
Soja;2019/20;22;TOTAL;100;3.622.109.836;3.216.133.744;4.139.578.359;2.282.076.914;0;0;1.235.766.128;6.481.663.845;2.282.570.027;0;100;100;100;100;9.982.298.851;9.722.705.001
Soja;2019/20;21;TOTAL;100;1.632.907.154;2.819.349.669;500.354.709;1.893.571.526;0;0.024238272;1.244.928.457;6.107.278.222;2.525.128.495;0;100;100;100;100;9.860.017.241;9.329.319.543
Soja;2019/20;20;TOTAL;100;1.124.361.191;2.825.110.905;4.952.442.708;2.110.010.268;0;0.019812224;1.259.027.083;5.951.948.572;2.787.043.122;0;100;100;100;100;9.652.925.287;8.744.875.322
Soja;2019/20;19;TOTAL;100;0.996221495;2.565.146.124;5.012.251.351;2.322.980.376;0;0.008092234;1.164.883.895;5.791.256.279;2.989.956.972;0.530936314;100;100;100;100;912.945.977;7.815.775.128
